audio_id,collecteur_id,speaker,age,sexe,position,type_item,decision
P08_S01_SYL02.wav,P08,S01,31,F,NA,syllabe,correct
P08_S01_W_F04.wav,P08,S01,31,F,final,mot,correct
P08_S01_P03.wav,P08,S01,31,F,NA,phrase,correct
P08_S01_W_I02.wav,P08,S01,31,F,initial,mot,correct
P08_S01_W_F02.wav,P08,S01,31,F,final,mot,correct
P11_S02_W_F05.wav,P11,S02,26,F,final,mot,correct
P11_S02_W_M06.wav,P11,S02,26,F,median,mot,correct
P11_S02_W_M03.wav,P11,S02,26,F,median,mot,correct
P11_S02_P09.wav,P11,S02,26,F,NA,phrase,correct
P11_S02_W_M05.wav,P11,S02,26,F,median,mot,correct
P11_S02_W_I01.wav,P11,S02,26,F,initial,mot,correct
P11_S02_W_I05.wav,P11,S02,26,F,initial,mot,correct
P11_S02_P04.wav,P11,S02,26,F,NA,phrase,correct
P11_S02_W_I04.wav,P11,S02,26,F,initial,mot,correct
P11_S02_W_F02.wav,P11,S02,26,F,final,mot,correct
P11_S02_W_F06.wav,P11,S02,26,F,final,mot,correct
P11_S02_P03.wav,P11,S02,26,F,NA,phrase,correct
P11_S03_W_F05.wav,P11,S03,63,F,final,mot,correct
P11_S03_W_M06.wav,P11,S03,63,F,median,mot,correct
P11_S03_W_M03.wav,P11,S03,63,F,median,mot,correct
P11_S03_P09.wav,P11,S03,63,F,NA,phrase,correct
P11_S03_W_M05.wav,P11,S03,63,F,median,mot,correct
P11_S03_W_I01.wav,P11,S03,63,F,initial,mot,correct
P11_S03_W_I05.wav,P11,S03,63,F,initial,mot,correct
P11_S03_P04.wav,P11,S03,63,F,NA,phrase,correct
P11_S03_W_I04.wav,P11,S03,63,F,initial,mot,correct
P11_S03_W_F02.wav,P11,S03,63,F,final,mot,correct
P11_S03_W_F06.wav,P11,S03,63,F,final,mot,correct
P11_S03_P03.wav,P11,S03,63,F,NA,phrase,correct
P08_S03_W_M02.wav,P08,S03,5,F,median,mot,correct
P08_S03_W_I03.wav,P08,S03,5,F,initial,mot,correct
P08_S03_W_F06.wav,P08,S03,5,F,final,mot,correct
P08_S03_W_I05.wav,P08,S03,5,F,initial,mot,correct
P08_S03_P01.wav,P08,S03,5,F,NA,phrase,correct
P08_S03_P07.wav,P08,S03,5,F,NA,phrase,correct
P08_S03_W_F05.wav,P08,S03,5,F,final,mot,correct
P08_S03_SYL02.wav,P08,S03,5,F,NA,syllabe,correct
P08_S03_W_F04.wav,P08,S03,5,F,final,mot,correct
P08_S03_P03.wav,P08,S03,5,F,NA,phrase,correct
P08_S03_W_I02.wav,P08,S03,5,F,initial,mot,correct
P08_S03_W_F02.wav,P08,S03,5,F,final,mot,correct
P08_S04_W_M02.wav,P08,S04,63,F,median,mot,correct
P08_S04_W_I03.wav,P08,S04,63,F,initial,mot,correct
P08_S04_W_F06.wav,P08,S04,63,F,final,mot,correct
P08_S04_W_I05.wav,P08,S04,63,F,initial,mot,correct
P08_S04_P01.wav,P08,S04,63,F,NA,phrase,correct
P08_S04_P07.wav,P08,S04,63,F,NA,phrase,correct
P08_S04_W_F05.wav,P08,S04,63,F,final,mot,correct
P08_S04_SYL02.wav,P08,S04,63,F,NA,syllabe,correct
P08_S04_W_F04.wav,P08,S04,63,F,final,mot,correct
P08_S04_P03.wav,P08,S04,63,F,NA,phrase,correct
P08_S04_W_I02.wav,P08,S04,63,F,initial,mot,correct
P08_S04_W_F02.wav,P08,S04,63,F,final,mot,correct
P09_S01_SYL01.wav,P09,S01,45,F,NA,syllabe,correct
P09_S01_W_I02.wav,P09,S01,45,F,initial,mot,correct
P09_S01_W_I04.wav,P09,S01,45,F,initial,mot,correct
P09_S01_W_I05.wav,P09,S01,45,F,initial,mot,correct
P09_S01_W_M01.wav,P09,S01,45,F,median,mot,correct
P09_S01_W_M03.wav,P09,S01,45,F,median,mot,correct
P09_S01_W_M05.wav,P09,S01,45,F,median,mot,correct
P09_S01_W_F02.wav,P09,S01,45,F,final,mot,correct
P09_S01_W_F05.wav,P09,S01,45,F,final,mot,correct
P09_S01_P01.wav,P09,S01,45,F,NA,phrase,correct
P09_S01_P02.wav,P09,S01,45,F,NA,phrase,correct
P09_S01_P08.wav,P09,S01,45,F,NA,phrase,correct
P09_S02_SYL01.wav,P09,S02,13,F,NA,syllabe,correct
P09_S02_W_I02.wav,P09,S02,13,F,initial,mot,correct
P09_S02_W_I04.wav,P09,S02,13,F,initial,mot,correct
P09_S02_W_I05.wav,P09,S02,13,F,initial,mot,correct
P09_S02_W_M01.wav,P09,S02,13,F,median,mot,correct
P09_S02_W_M03.wav,P09,S02,13,F,median,mot,correct
P09_S02_W_M05.wav,P09,S02,13,F,median,mot,correct
P09_S02_W_F02.wav,P09,S02,13,F,final,mot,correct
P09_S02_W_F05.wav,P09,S02,13,F,final,mot,correct
P09_S02_P01.wav,P09,S02,13,F,NA,phrase,correct
P09_S02_P02.wav,P09,S02,13,F,NA,phrase,correct
P09_S02_P08.wav,P09,S02,13,F,NA,phrase,correct
P13_S01_ISO01.wav,P13,S01,47,F,NA,isole,correct
P13_S01_P06.wav,P13,S01,47,F,NA,phrase,correct
P13_S01_P07.wav,P13,S01,47,F,NA,phrase,correct
P13_S01_P09.wav,P13,S01,47,F,NA,phrase,correct
P13_S01_SYL03.wav,P13,S01,47,F,NA,syllabe,correct
P13_S01_W_F01.wav,P13,S01,47,F,final,mot,correct
P13_S01_W_F04.wav,P13,S01,47,F,final,mot,correct
P13_S01_W_I01.wav,P13,S01,47,F,initial,mot,correct
P13_S01_W_I06.wav,P13,S01,47,F,initial,mot,correct
P13_S01_W_M01.wav,P13,S01,47,F,median,mot,correct
P13_S01_W_M04.wav,P13,S01,47,F,median,mot,correct
P13_S01_W_M06.wav,P13,S01,47,F,median,mot,correct
P13_S04_ISO01.wav,P13,S04,17,F,NA,isole,correct
P13_S04_P06.wav,P13,S04,17,F,NA,phrase,correct
P13_S04_P07.wav,P13,S04,17,F,NA,phrase,correct
P13_S04_P09.wav,P13,S04,17,F,NA,phrase,correct
P13_S04_SYL03.wav,P13,S04,17,F,NA,syllabe,correct
P13_S04_W_F01.wav,P13,S04,17,F,final,mot,correct
P13_S04_W_I01.wav,P13,S04,17,F,initial,mot,correct
P13_S04_W_I06.wav,P13,S04,17,F,initial,mot,correct
P13_S04_W_M01.wav,P13,S04,17,F,median,mot,correct
P13_S04_W_M04.wav,P13,S04,17,F,median,mot,correct
P13_S04_W_M06.wav,P13,S04,17,F,median,mot,correct
P13_S04_W_F04.wav,P13,S04,17,F,final,mot,correct
P13_S05_ISO01.wav,P13,S05,45,F,NA,isole,correct
P13_S05_P06.wav,P13,S05,45,F,NA,phrase,correct
P13_S05_P07.wav,P13,S05,45,F,NA,phrase,correct
P13_S05_P09.wav,P13,S05,45,F,NA,phrase,correct
P13_S05_SYL03.wav,P13,S05,45,F,NA,syllabe,correct
P13_S05_W_F01.wav,P13,S05,45,F,final,mot,correct
P13_S05_W_I01.wav,P13,S05,45,F,initial,mot,correct
P13_S05_W_I06.wav,P13,S05,45,F,initial,mot,correct
P13_S05_W_M01.wav,P13,S05,45,F,median,mot,correct
P13_S05_W_M04.wav,P13,S05,45,F,median,mot,correct
P13_S05_W_M06.wav,P13,S05,45,F,median,mot,correct
P13_S05_W_F04.wav,P13,S05,45,F,final,mot,correct
P05_S03_W_F02.wav,P05,S03,24,F,final,mot,correct
P05_S03_W_M05.wav,P05,S03,24,F,median,mot,correct
P05_S03_W_M03.wav,P05,S03,24,F,median,mot,correct
P05_S03_W_l01.wav,P05,S03,24,F,initial,mot,correct
P05_S03_W_SYL01.wav,P05,S03,24,F,initial,syllabe,correct
P05_S03_W_F04.wav,P05,S03,24,F,final,mot,correct
P05_S03_W_P02.wav,P05,S03,24,F,initial,phrase,correct
P05_S03_W_SYL02.wav,P05,S03,24,F,initial,syllabe,correct
P05_S03_W_P03.wav,P05,S03,24,F,initial,phrase,correct
P05_S03_W_P04.wav,P05,S03,24,F,median,phrase,correct
P05_S03_W_I06.wav,P05,S03,24,F,initial,mot,correct
P05_S03_W_SYL03.wav,P05,S03,24,F,initial,syllabe,correct
P02_S01_ISO01.wav,P02,S01,44,M,NA,isole,correct
P02_S01_P04.wav,P02,S01,44,M,NA,phrase,correct
P02_S01_P06.wav,P02,S01,44,M,NA,phrase,correct
P02_S01_SYL01.wav,P02,S01,44,M,NA,syllabe,correct
P02_S01_SYL02.wav,P02,S01,44,M,NA,syllabe,correct
P02_S01_W_F01.wav,P02,S01,44,M,final,mot,correct
P02_S01_W_F02.wav,P02,S01,44,M,final,mot,correct
P02_S01_W_F03.wav,P02,S01,44,M,final,mot,correct
P02_S01_W_F04.wav,P02,S01,44,M,final,mot,correct
P02_S01_W_I03.wav,P02,S01,44,M,initial,mot,correct
P02_S01_W_I04.wav,P02,S01,44,M,initial,mot,correct
P02_S01_W_M04.wav,P02,S01,44,M,median,mot,correct
P04_S03_W_M01.wav,P04,S03,8,M,median,mot,correct
P04_S03_W_I05.wav,P04,S03,8,M,initial,mot,correct
P04_S03_W_I01.wav,P04,S03,8,M,initial,mot,correct
P04_S03_W_I03.wav,P04,S03,8,M,initial,mot,correct
P04_S03_P03.wav,P04,S03,8,M,NA,phrase,correct
P04_S03_P09.wav,P04,S03,8,M,NA,phrase,correct
P04_S03_SYL03.wav,P04,S03,8,M,NA,syllabe,correct
P04_S03_SYL02.wav,P04,S03,8,M,NA,syllabe,correct
P04_S03_W_M03.wav,P04,S03,8,M,median,mot,correct
P04_S03_P05.wav,P04,S03,8,M,NA,phrase,correct
P04_S03_W_M02.wav,P04,S03,8,M,median,mot,correct
P04_S03_W_F05.wav,P04,S03,8,M,final,mot,correct
P04_S04_W_M01.wav,P04,S04,5,M,median,mot,correct
P04_S04_W_I05.wav,P04,S04,5,M,initial,mot,correct
P04_S04_W_I03.wav,P04,S04,5,M,initial,mot,distorsion
P04_S04_P03.wav,P04,S04,5,M,NA,phrase,correct
P04_S04_P09.wav,P04,S04,5,M,NA,phrase,correct
P04_S04_SYL03.wav,P04,S04,5,M,NA,syllabe,correct
P04_S04_SYL02.wav,P04,S04,5,M,NA,syllabe,correct
P04_S04_W_M03.wav,P04,S04,5,M,median,mot,correct
P04_S04_P05.wav,P04,S04,5,M,NA,phrase,correct
P04_S04_W_M02.wav,P04,S04,5,M,median,mot,correct
P04_S04_W_F05.wav,P04,S04,5,M,final,mot,correct
P06_S01_SYL01.wav,P06,S01,37,M,NA,syllabe,correct
P06_S01_SYL02.wav,P06,S01,37,M,NA,syllabe,correct
P06_S01_W_I03.wav,P06,S01,37,M,initial,mot,correct
P06_S01_W_I04.wav,P06,S01,37,M,initial,mot,correct
P06_S01_W_I06.wav,P06,S01,37,M,initial,mot,correct
P06_S01_W_M02.wav,P06,S01,37,M,median,mot,correct
P06_S01_W_F03.wav,P06,S01,37,M,final,mot,correct
P06_S01_W_F04.wav,P06,S01,37,M,final,mot,correct
P06_S01_W_F05.wav,P06,S01,37,M,final,mot,correct
P06_S01_P01.wav,P06,S01,37,M,NA,phrase,correct
P06_S01_P05.wav,P06,S01,37,M,NA,phrase,correct
P06_S01_P06.wav,P06,S01,37,M,NA,phrase,correct
P06_S02_SYL01.wav,P06,S02,29,M,NA,syllabe,correct
P06_S02_SYL02.wav,P06,S02,29,M,NA,syllabe,correct
P06_S02_W_I03.wav,P06,S02,29,M,initial,mot,correct
P06_S02_W_I04.wav,P06,S02,29,M,initial,mot,correct
P06_S02_W_I06.wav,P06,S02,29,M,initial,mot,correct
P06_S02_W_M02.wav,P06,S02,29,M,median,mot,correct
P06_S02_W_F03.wav,P06,S02,29,M,final,mot,correct
P06_S02_W_F04.wav,P06,S02,29,M,final,mot,correct
P06_S02_W_F05.wav,P06,S02,29,M,final,mot,correct
P06_S02_P01.wav,P06,S02,29,M,NA,phrase,correct
P06_S02_P05.wav,P06,S02,29,M,NA,phrase,correct
P06_S02_P06.wav,P06,S02,29,M,NA,phrase,correct
P06_S03_SYL01.wav,P06,S03,38,M,NA,syllabe,correct
P06_S03_SYL02.wav,P06,S03,38,M,NA,syllabe,correct
P06_S03_W_I03.wav,P06,S03,38,M,initial,mot,correct
P06_S03_W_I04.wav,P06,S03,38,M,initial,mot,correct
P06_S03_W_I06.wav,P06,S03,38,M,initial,mot,correct
P06_S03_W_M02.wav,P06,S03,38,M,median,mot,correct
P06_S03_W_F03.wav,P06,S03,38,M,final,mot,correct
P06_S03_W_F04.wav,P06,S03,38,M,final,mot,correct
P06_S03_W_F05.wav,P06,S03,38,M,final,mot,correct
P06_S03_P01.wav,P06,S03,38,M,NA,phrase,correct
P06_S03_P05.wav,P06,S03,38,M,NA,phrase,correct
P06_S03_P06.wav,P06,S03,38,M,NA,phrase,correct
P06_S04_SYL01.wav,P06,S04,4,M,NA,syllabe,substitution_ch_vers_s 
P06_S04_SYL02.wav,P06,S04,4,M,NA,syllabe,substitution_ch_vers_s 
P06_S04_W_I03.wav,P06,S04,4,M,initial,mot,distorsion
P06_S04_W_I04.wav,P06,S04,4,M,initial,mot,distorsion
P06_S04_W_I06.wav,P06,S04,4,M,initial,mot,distorsion
P06_S04_W_M02.wav,P06,S04,4,M,median,mot,substitution_ch_vers_s 
P06_S04_W_F03.wav,P06,S04,4,M,final,mot,indeterminé
P06_S04_W_F04.wav,P06,S04,4,M,final,mot,distorsion
P06_S04_W_F05.wav,P06,S04,4,M,final,mot,substitution_ch_vers_s 
P06_S04_P01.wav,P06,S04,4,M,NA,phrase,substitution_ch_vers_s 
P06_S04_P05.wav,P06,S04,4,M,NA,phrase,substitution_ch_vers_s 
P06_S04_P06.wav,P06,S04,4,M,NA,phrase,substitution_ch_vers_s 
P08_S02_W_M02.wav,P08,S02,32,M,median,mot,correct
P08_S02_W_I03.wav,P08,S02,32,M,initial,mot,correct
P08_S02_W_F06.wav,P08,S02,32,M,final,mot,correct
P08_S02_W_I05.wav,P08,S02,32,M,initial,mot,correct
P08_S02_P01.wav,P08,S02,32,M,NA,phrase,correct
P08_S02_P07.wav,P08,S02,32,M,NA,phrase,correct
P08_S02_W_F05.wav,P08,S02,32,M,final,mot,correct
P08_S02_SYL02.wav,P08,S02,32,M,NA,syllabe,correct
P08_S02_W_F04.wav,P08,S02,32,M,final,mot,correct
P08_S02_P03.wav,P08,S02,32,M,NA,phrase,correct
P08_S02_W_I02.wav,P08,S02,32,M,initial,mot,correct
P08_S02_W_F02.wav,P08,S02,32,M,final,mot,correct
P11_S01_W_F05.wav,P11,S01,28,M,final,mot,correct
P11_S01_W_M06.wav,P11,S01,28,M,median,mot,correct
P11_S01_W_M03.wav,P11,S01,28,M,median,mot,correct
P11_S01_P09.wav,P11,S01,28,M,NA,phrase,correct
P11_S01_W_M05.wav,P11,S01,28,M,median,mot,correct
P11_S01_W_I01.wav,P11,S01,28,M,initial,mot,correct
P11_S01_W_I05.wav,P11,S01,28,M,initial,mot,correct
P11_S01_P04.wav,P11,S01,28,M,NA,phrase,correct
P11_S01_W_I04.wav,P11,S01,28,M,initial,mot,correct
P11_S01_W_F02.wav,P11,S01,28,M,final,mot,correct
P11_S01_W_F06.wav,P11,S01,28,M,final,mot,correct
P11_S01_P03.wav,P11,S01,28,M,NA,phrase,correct
P11_S04_W_F05.wav,P11,S04,63,M,final,mot,correct
P11_S04_W_M06.wav,P11,S04,63,M,median,mot,correct
P11_S04_W_M03.wav,P11,S04,63,M,median,mot,correct
P11_S04_P09.wav,P11,S04,63,M,NA,phrase,correct
P11_S04_W_M05.wav,P11,S04,63,M,median,mot,correct
P11_S04_W_I01.wav,P11,S04,63,M,initial,mot,correct
P11_S04_W_I05.wav,P11,S04,63,M,initial,mot,correct
P11_S04_P04.wav,P11,S04,63,M,NA,phrase,correct
P11_S04_W_I04.wav,P11,S04,63,M,initial,mot,correct
P11_S04_W_F02.wav,P11,S04,63,M,final,mot,correct
P11_S04_W_F06.wav,P11,S04,63,M,final,mot,correct
P11_S04_P03.wav,P11,S04,63,M,NA,phrase,correct
P09_S03_SYL01.wav,P09,S03,44,M,NA,syllabe,correct
P09_S03_W_I02.wav,P09,S03,44,M,initial,mot,correct
P09_S03_W_I04.wav,P09,S03,44,M,initial,mot,correct
P09_S03_W_I05.wav,P09,S03,44,M,initial,mot,correct
P09_S03_W_M01.wav,P09,S03,44,M,median,mot,correct
P09_S03_W_M03.wav,P09,S03,44,M,median,mot,correct
P09_S03_W_M05.wav,P09,S03,44,M,median,mot,correct
P09_S03_W_F02.wav,P09,S03,44,M,final,mot,correct
P09_S03_W_F05.wav,P09,S03,44,M,final,mot,correct
P09_S03_P01.wav,P09,S03,44,M,NA,phrase,correct
P09_S03_P02.wav,P09,S03,44,M,NA,phrase,correct
P09_S03_P08.wav,P09,S03,44,M,NA,phrase,correct
P13_S02_ISO01.wav,P13,S02,21,M,NA,isole,correct
P13_S02_P06.wav,P13,S02,21,M,NA,phrase,correct
P13_S02_P07.wav,P13,S02,21,M,NA,phrase,correct
P13_S02_P09.wav,P13,S02,21,M,NA,phrase,correct
P13_S02_SYL03.wav,P13,S02,21,M,NA,syllabe,correct
P13_S02_W_F01.wav,P13,S02,21,M,final,mot,correct
P13_S02_W_F04.wav,P13,S02,21,M,final,mot,correct
P13_S02_W_I01.wav,P13,S02,21,M,initial,mot,correct
P13_S02_W_I06.wav,P13,S02,21,M,initial,mot,correct
P13_S02_W_M01.wav,P13,S02,21,M,median,mot,correct
P13_S02_W_M04.wav,P13,S02,21,M,median,mot,correct
P13_S02_W_M06.wav,P13,S02,21,M,median,mot,correct
P13_S03_ISO01.wav,P13,S03,21,M,NA,isole,correct
P13_S03_P06.wav,P13,S03,21,M,NA,phrase,correct
P13_S03_P07.wav,P13,S03,21,M,NA,phrase,correct
P13_S03_P09.wav,P13,S03,21,M,NA,phrase,correct
P13_S03_SYL03.wav,P13,S03,21,M,NA,syllabe,correct
P13_S03_W_F01.wav,P13,S03,21,M,final,mot,correct
P13_S03_W_F04.wav,P13,S03,21,M,final,mot,correct
P13_S03_W_I01.wav,P13,S03,21,M,initial,mot,correct
P13_S03_W_I06.wav,P13,S03,21,M,initial,mot,correct
P13_S03_W_M01.wav,P13,S03,21,M,median,mot,correct
P13_S03_W_M04.wav,P13,S03,21,M,median,mot,correct
P13_S03_W_M06.wav,P13,S03,21,M,median,mot,correct
P13_S06_ISO01.wav,P13,S06,47,M,NA,isole,correct
P13_S06_P06.wav,P13,S06,47,M,NA,phrase,correct
P13_S06_P07.wav,P13,S06,47,M,NA,phrase,correct
P13_S06_P09.wav,P13,S06,47,M,NA,phrase,correct
P13_S06_SYL03.wav,P13,S06,47,M,NA,syllabe,correct
P13_S06_W_F01.wav,P13,S06,47,M,final,mot,correct
P13_S06_W_I01.wav,P13,S06,47,M,initial,mot,correct
P13_S06_W_I06.wav,P13,S06,47,M,initial,mot,correct
P13_S06_W_M01.wav,P13,S06,47,M,median,mot,correct
P13_S06_W_M04.wav,P13,S06,47,M,median,mot,correct
P13_S06_W_M06.wav,P13,S06,47,M,median,mot,correct
P13_S06_W_F04.wav,P13,S06,47,M,final,mot,correct
P13_S07_ISO01.wav,P13,S07,14,M,NA,isole,correct
P13_S07_P06.wav,P13,S07,14,M,NA,phrase,correct
P13_S07_P07.wav,P13,S07,14,M,NA,phrase,correct
P13_S07_P09.wav,P13,S07,14,M,NA,phrase,correct
P13_S07_SYL03.wav,P13,S07,14,M,NA,syllabe,correct
P13_S07_W_F01.wav,P13,S07,14,M,final,mot,correct
P13_S07_W_I01.wav,P13,S07,14,M,initial,mot,correct
P13_S07_W_I06.wav,P13,S07,14,M,initial,mot,correct
P13_S07_W_M01.wav,P13,S07,14,M,median,mot,correct
P13_S07_W_M04.wav,P13,S07,14,M,median,mot,correct
P13_S07_W_M06.wav,P13,S07,14,M,median,mot,correct
P13_S07_W_F04.wav,P13,S07,14,M,final,mot,correct
P05_S01_W_F02.wav,P05,S01,25,M,final,mot,correct
P05_S01_W_M05.wav,P05,S01,25,M,median,mot,correct
P05_S01_W_M03.wav,P05,S01,25,M,median,mot,correct
P05_S01_W_l01.wav,P05,S01,25,M,initial,mot,correct
P05_S01_W_SYL01.wav,P05,S01,25,M,initial,syllabe,correct
P05_S01_W_F04.wav,P05,S01,25,M,final,mot,correct
P05_S01_W_P02.wav,P05,S01,25,M,initial,phrase,correct
P05_S01_W_SYL02.wav,P05,S01,25,M,initial,syllabe,correct
P05_S01_W_P03.wav,P05,S01,25,M,initial,phrase,correct
P05_S01_W_P04.wav,P05,S01,25,M,median,phrase,correct
P05_S01_W_I06.wav,P05,S01,25,M,initial,mot,correct
P05_S01_W_SYL03.wav,P05,S01,25,M,initial,syllabe,correct
P05_S02_W_F02.wav,P05,S02,23,M,final,mot,correct
P05_S02_W_M05.wav,P05,S02,23,M,median,mot,correct
P05_S02_W_M03.wav,P05,S02,23,M,median,mot,correct
P05_S02_W_l01.wav,P05,S02,23,M,initial,mot,correct
P05_S02_W_SYL01.wav,P05,S02,23,M,initial,syllabe,correct
P05_S02_W_F04.wav,P05,S02,23,M,final,mot,correct
P05_S02_W_P02.wav,P05,S02,23,M,initial,phrase,correct
P05_S02_W_SYL02.wav,P05,S02,23,M,initial,syllabe,correct
P05_S02_W_P03.wav,P05,S02,23,M,initial,phrase,correct
P05_S02_W_P04.wav,P05,S02,23,M,median,phrase,correct
P05_S02_W_I06.wav,P05,S02,23,M,initial,mot,correct
P05_S02_W_SYL03.wav,P05,S02,23,M,initial,syllabe,correct
P03_S01_W_F05.wav,P03,S01,38,M,NA,phrase,correct
P03_S01_P09.wav,P03,S01,38,M,NA,phrase,substitution_ch_vers_s 
P03_S01_W_F02.wav,P03,S01,38,M,final,mot,substitution_ch_vers_s 
P03_S01_W_M04.wav,P03,S01,38,M,median,mot,substitution_ch_vers_s 
P03_S01_W_I04.wav,P03,S01,38,M,initial,mot,substitution_ch_vers_s 
P03_S01_W_M05.wav,P03,S01,38,M,median,mot,substitution_ch_vers_s 
P03_S01_W_F03.wav,P03,S01,38,M,final,mot,substitution_ch_vers_s 
P03_S01_W_I05.wav,P03,S01,38,M,initial,mot,substitution_ch_vers_s 
P03_S01_ISO01.wav,P03,S01,38,M,NA,isole,substitution_ch_vers_s 
P03_S01_W_I02.wav,P03,S01,38,M,initial,mot,substitution_ch_vers_s 
P03_S01_P05.wav,P03,S01,38,M,NA,phrase,substitution_ch_vers_s 
P04_S04_W_I01.wav,P04,S04,5,,initial,mot,correct
